Артикул,Название (RU),Nomi (UZ),Категория Uzum,Штрихкод (EAN-13),Цена (UZS),Старая цена (UZS),Остаток,Фото (URL),Описание,Форма выпуска,Бренд
WM-OTC-001,"ВАМЕЛАН 30 капсул","VAMELAN 30 kapsula","Красота и здоровье/Аптека/Успокоительные и снотворные",4780012012201,78000,89000,100,https://www.worldmedicine.uz/uploads/articles/1220/article-original.png,"Натуральный фитопрепарат с мягким седативным и спазмолитическим действием. Мята, валериана, мелисса.",Капсулы,World Medicine
WM-OTC-002,"ВАМЕЛАН КИДС сироп 150 мл","VAMELAN KIDS sirop 150 ml","Красота и здоровье/Аптека/Витамины и БАД/Детские",4780012017202,68000,78000,85,https://www.worldmedicine.uz/uploads/articles/1720/article-original.png,"Успокаивающий фитосироп для детей. Снижает эмоциональное напряжение, улучшает сон.",Сироп,World Medicine
WM-OTC-003,"Д-КАЛЬЦИН гранулы 75 г","D-KALSIN granula 75 g","Красота и здоровье/Аптека/Витамины и БАД/Кальций и витамин D",4780012012173,62000,72000,120,https://www.worldmedicine.uz/uploads/articles/1217/article-original.png,"Комбинированный препарат кальция и витамина D3 для детей и взрослых.",Гранулы,World Medicine
WM-OTC-004,"ДРАСТОП МАКС шипучие таблетки №20","DRASTOP MAKS tabletka №20","Красота и здоровье/Аптека/Препараты для суставов",4780012019434,145000,165000,60,https://www.worldmedicine.uz/uploads/articles/1943/article-original.png,"Хондропротекторный комплекс: глюкозамин, хондроитин, МСМ. Улучшает подвижность суставов.",Шипучие таблетки,World Medicine
WM-OTC-005,"ЙОДОФОЛ 150 таб.","YODOFOL 150 tab.","Красота и здоровье/Аптека/Витамины и БАД/Для беременных",4780012012015,48000,56000,150,https://www.worldmedicine.uz/uploads/articles/1201/article-original.png,"Йод 150 мкг + фолиевая кислота 400 мкг для планирования беременности и щитовидной железы.",Таблетки,World Medicine
WM-OTC-006,"ЛАЦИДОФОРТЕ 20 капсул","LATSIDOFORTE 20 kapsula","Красота и здоровье/Аптека/Пробиотики и пребиотики",4780012012076,82000,95000,110,https://www.worldmedicine.uz/uploads/articles/1207/article-original.png,"Синбиотик высокой концентрации полезных лакто- и бифидобактерий для восстановления микрофлоры.",Капсулы,World Medicine
WM-OTC-007,"КОЛЕДАН капли 15 мл (50 000 МЕ/мл)","KOLEDAN tomchi 15 ml","Красота и здоровье/Аптека/Витамины и БАД/Витамин D",4780012018897,45000,52000,200,https://www.worldmedicine.uz/uploads/articles/1889/article-original.png,"Витамин D3 (холекальциферол) высокой очистки для иммунитета и костной системы.",Капли,World Medicine
WM-OTC-008,"ПОЛИЖЕН 12 капсул","POLIJEN 12 kapsula","Красота и здоровье/Аптека/Витаминно-минеральные комплексы",4780012012008,98000,115000,90,https://www.worldmedicine.uz/uploads/articles/1200/article-original.png,"Премиальный витаминно-минеральный комплекс с экстрактом женьшеня, маточным молочком и пыльцой.",Капсулы,World Medicine
WM-OTC-009,"АРТРОКОЛ гель 45 г","ARTROKOL gel 45 g","Красота и здоровье/Аптека/Обезболивающие гели и мази",4780012012889,39000,45000,140,https://www.worldmedicine.uz/uploads/articles/1288/article-original.png,"Кетопрофен 2.5% обезболивающий противовоспалительный гель для суставов и мышц.",Гель,World Medicine
WM-OTC-010,"САНОВИТ сироп 100 мл","SANOVIT sirop 100 ml","Красота и здоровье/Аптека/Витамины и БАД/Детские",4780012011950,52000,60000,130,https://www.worldmedicine.uz/uploads/articles/1195/article-original.png,"Сбалансированный поливитаминный комплекс с минералами для гармоничного роста детей.",Сироп,World Medicine
WM-OTC-011,"РЕЙТОИЛ Омега-3 №30","REYTOIL Omega-3 №30","Красота и здоровье/Аптека/Витамины и БАД/Омега-3 и рыбий жир",4780012011981,89000,105000,80,https://www.worldmedicine.uz/uploads/articles/1198/article-original.png,"Омега-3 полиненасыщенные жирные кислоты + масло зародышей пшеницы для сердца и сосудов.",Капсулы,World Medicine
WM-OTC-012,"СИМАЛГЕЛЬ суспензия 200 мл","SIMALGEL suspenziya 200 ml","Красота и здоровье/Аптека/Желудочно-кишечные средства",4780012011942,42000,49000,115,https://www.worldmedicine.uz/uploads/articles/1194/article-original.png,"Антацидный обволакивающий препарат от изжоги, боли в желудке и гастрита.",Суспензия,World Medicine
WM-OTC-013,"ПРОТЕКТА шипучие таблетки №20","PROTEKTA tabletka №20","Красота и здоровье/Аптека/Препараты для суставов",4780012011993,125000,142000,75,https://www.worldmedicine.uz/uploads/articles/1199/article-original.png,"Комплекс хондроитина, глюкозамина, кальция и витамина D3 для суставов.",Шипучие таблетки,World Medicine
WM-OTC-014,"ГРИПОФФ саше №10","GRIPOFF sashe №10","Красота и здоровье/Аптека/Простуда и грипп",4780012012034,49000,58000,160,https://www.worldmedicine.uz/uploads/articles/1203/article-original.png,"Комплексное средство от симптомов гриппа, простуды, жара и заложенности носа.",Саше,World Medicine
WM-OTC-015,"ЭМФЕТАЛ №60","EMFETAL №60","Красота и здоровье/Аптека/Витамины и БАД/Для беременных",4780012011965,110000,128000,95,https://www.worldmedicine.uz/uploads/articles/1196/article-original.png,"Поливитамины и минералы для беременных и кормящих матерей.",Таблетки,World Medicine
WM-OTC-016,"ЭСЛОТИН 5 мг №10","ESLOTIN 5 mg №10","Красота и здоровье/Аптека/Антигистаминные средства",4780012012066,36000,42000,180,https://www.worldmedicine.uz/uploads/articles/1206/article-original.png,"Дезлоратадин 5 мг — противоаллергическое средство без сонливости.",Таблетки,World Medicine
